"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","What","Number","Shape","DepthMin","DepthMax","DurationMin","DurationMax","Shallow","Deep","start","end","t.diff","flag","divenum","depth","duration"
"93","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:54","9/6/16 8:55","Surface",NA,"",NA,NA,85,87,67,19,2016-09-06 04:54:00,2016-09-06 04:55:00,0,0,42,NA,86
"94","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:55","9/6/16 9:00","Dive",1,"U",130,133.5,307,309,NA,NA,2016-09-06 04:55:00,2016-09-06 05:00:00,0,0,43,131.75,308
"95","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 9:00","9/6/16 9:01","Surface",NA,"",NA,NA,73,75,69,5,2016-09-06 05:00:00,2016-09-06 05:01:00,0,0,43,NA,74
"96","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 9:01","9/6/16 9:07","Dive",1,"Square",75,76.5,313,315,NA,NA,2016-09-06 05:01:00,2016-09-06 05:07:00,0,0,44,75.75,314
"97","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 9:07","9/6/16 9:08","Surface",NA,"",NA,NA,69,71,65,5,2016-09-06 05:07:00,2016-09-06 05:08:00,0,0,44,NA,70
"98","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 9:08","9/6/16 9:12","Dive",1,"Square",67,68.5,261,263,NA,NA,2016-09-06 05:08:00,2016-09-06 05:12:00,0,0,45,67.75,262
"99","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 9:12","9/6/16 9:13","Surface",NA,"",NA,NA,65,67,62,4,2016-09-06 05:12:00,2016-09-06 05:13:00,0,0,45,NA,66
"101","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 9:50","9/7/16 9:58","Dive",1,"U",412,419.5,519,521,NA,NA,2016-09-07 05:50:00,2016-09-07 05:58:00,88620,1,46,415.75,520
"102","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 9:58","9/7/16 10:01","Surface",NA,"",NA,NA,185,187,156,30,2016-09-07 05:58:00,2016-09-07 06:01:00,0,0,46,NA,186
"103","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 10:01","9/7/16 10:13","Dive",1,"U",592,607.5,685,687,NA,NA,2016-09-07 06:01:00,2016-09-07 06:13:00,0,0,47,599.75,686
"104","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 10:13","9/7/16 10:35","Surface",NA,"",NA,NA,1319,1321,894,426,2016-09-07 06:13:00,2016-09-07 06:35:00,0,0,47,NA,1320
"105","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 10:35","9/7/16 10:39","Dive",1,"Square",81,82.5,279,281,NA,NA,2016-09-07 06:35:00,2016-09-07 06:39:00,0,0,48,81.75,280
"106","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 10:39","9/7/16 10:54","Surface",NA,"",NA,NA,895,897,665,231,2016-09-07 06:39:00,2016-09-07 06:54:00,0,0,48,NA,896
"107","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 10:54","9/7/16 10:59","Dive",1,"Square",65,66.5,289,291,NA,NA,2016-09-07 06:54:00,2016-09-07 06:59:00,0,0,49,65.75,290
"108","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 10:59","9/7/16 14:16","Surface",NA,"",NA,NA,11827,11829,8394,3434,2016-09-07 06:59:00,2016-09-07 10:16:00,0,0,49,NA,11828
"109","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 14:16","9/7/16 14:18","Dive",1,"U",52.5,53,87,89,NA,NA,2016-09-07 10:16:00,2016-09-07 10:18:00,0,0,50,52.75,88
