,DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep,start,end,t.diff,flag,divenum,depth,duration
84,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 23:55,9/3/2016 0:01,Dive,1,U,268,275.5,395,397,NA,NA,9/2/2016 19:55,9/2/2016 20:01,0,0,36,271.75,396
85,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 0:01,9/3/2016 0:02,Surface,NA,,NA,NA,53,55,52,2,9/2/2016 20:01,9/2/2016 20:02,0,0,36,NA,54
86,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 0:02,9/3/2016 0:06,Dive,1,U,89,90.5,217,219,NA,NA,9/2/2016 20:02,9/2/2016 20:06,0,0,37,89.75,218
87,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 0:06,9/3/2016 0:07,Surface,NA,,NA,NA,81,83,82,0,9/2/2016 20:06,9/2/2016 20:07,0,0,37,NA,82
89,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 0:08,9/3/2016 0:09,Dive,1,U,54.5,55,115,117,NA,NA,9/2/2016 20:08,9/2/2016 20:09,60,1,38,54.75,116
90,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 0:09,9/3/2016 0:12,Surface,NA,,NA,NA,133,135,117,17,9/2/2016 20:09,9/2/2016 20:12,0,0,38,NA,134
91,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 0:12,9/3/2016 0:19,Dive,1,U,292,299.5,453,455,NA,NA,9/2/2016 20:12,9/2/2016 20:19,0,0,39,295.75,454
92,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 0:19,9/3/2016 0:28,Surface,NA,,NA,NA,501,503,211,291,9/2/2016 20:19,9/2/2016 20:28,0,0,39,NA,502
93,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 0:28,9/3/2016 0:32,Dive,1,U,166,169.5,285,287,NA,NA,9/2/2016 20:28,9/2/2016 20:32,0,0,40,167.75,286
94,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 0:32,9/3/2016 0:57,Surface,NA,,NA,NA,1473,1475,618,856,9/2/2016 20:32,9/2/2016 20:57,0,0,40,NA,1474
95,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 0:57,9/3/2016 1:03,Dive,1,U,218,221.5,389,391,NA,NA,9/2/2016 20:57,9/2/2016 21:03,0,0,41,219.75,390
